,max (document wise),mean (document wise),min (document wise)
w20246_20088-n,0.0006896552,0.0006896552,0.0006896552
w43987_11029-a,0.0013793104,0.0013793104,0.0013793104
w43987_20952-a,0.0013793104,0.0013793104,0.0013793104
w4408_892-a,0.0006896552,0.0006896552,0.0006896552
w4408_6523-a,0.0006896552,0.0006896552,0.0006896552
w14611_3184-n,0.0006896552,0.0006896552,0.0006896552
w14611_4951-n,0.0006896552,0.0006896552,0.0006896552
w14611_5017-n,0.0006896552,0.0006896552,0.0006896552
w14611_6368-n,0.0006896552,0.0006896552,0.0006896552
w14611_10976-n,0.0006896552,0.0006896552,0.0006896552
w14611_11318-n,0.0006896552,0.0006896552,0.0006896552
w14611_12442-n,0.0006896552,0.0006896552,0.0006896552
w14611_17741-n,0.0006896552,0.0006896552,0.0006896552
w93545_27125-n,0.0006896552,0.0006896552,0.0006896552
w8953_1848-v,0.0006896552,0.0006896552,0.0006896552
w8953_5613-v,0.0006896552,0.0006896552,0.0006896552
w8953_6500-v,0.0006896552,0.0006896552,0.0006896552
w8953_10119-v,0.0006896552,0.0006896552,0.0006896552
w8953_15640-v,0.0006896552,0.0006896552,0.0006896552
w13896_2994-n,0.0006896552,0.0006896552,0.0006896552
w13896_5124-n,0.0006896552,0.0006896552,0.0006896552
w13896_7264-n,0.0006896552,0.0006896552,0.0006896552
w13896_8489-n,0.0006896552,0.0006896552,0.0006896552
w13896_20660-n,0.0006896552,0.0006896552,0.0006896552
w13896_24261-n,0.0006896552,0.0006896552,0.0006896552
w55773_14734-a,0.0006896552,0.0006896552,0.0006896552
w46012_11619-n,0.0006896552,0.0006896552,0.0006896552
w46012_26173-n,0.0006896552,0.0006896552,0.0006896552
w21470_12658-n,0.0006896552,0.0006896552,0.0006896552
w21470_7954-n,0.0006896552,0.0006896552,0.0006896552
w21470_18505-n,0.0006896552,0.0006896552,0.0006896552
w13978_3019-v,0.0006896552,0.0006896552,0.0006896552
w1455_303-v,0.0006896552,0.0006896552,0.0006896552
w1455_3823-v,0.0006896552,0.0006896552,0.0006896552
w1455_7415-v,0.0006896552,0.0006896552,0.0006896552
w1455_9875-v,0.0006896552,0.0006896552,0.0006896552
w1455_30927-v,0.0006896552,0.0006896552,0.0006896552
w70781_19860-n,0.0006896552,0.0006896552,0.0006896552
w29478_7041-a,0.0006896552,0.0006896552,0.0006896552
w29478_8509-a,0.0006896552,0.0006896552,0.0006896552
w1202346_36203-n,0.0006896552,0.0006896552,0.0006896552
w18864_4263-v,0.0006896552,0.0006896552,0.0006896552
w18864_6874-v,0.0006896552,0.0006896552,0.0006896552
w10475_2171-a,0.0013793104,0.0013793104,0.0013793104
w10475_3139-a,0.0013793104,0.0013793104,0.0013793104
w10475_9781-a,0.0013793104,0.0013793104,0.0013793104
w10475_28436-a,0.0013793104,0.0013793104,0.0013793104
w10475_30378-a,0.0013793104,0.0013793104,0.0013793104
w10475_34133-a,0.0013793104,0.0013793104,0.0013793104
w39676_9904-n,0.0006896552,0.0006896552,0.0006896552
w39676_12518-n,0.0006896552,0.0006896552,0.0006896552
w39676_18809-n,0.0006896552,0.0006896552,0.0006896552
w7303_1475-v,0.0006896552,0.0006896552,0.0006896552
